brand_name,model_name,battery_type,resolution,os,video_4K,ram(GB),storage(GB),popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size
103,1,1,1080x2400,193,1,8,128,6.891625897052253,9.856160068128911,13134.0,1,30.0,6.9,128,74
33,1,1,720x1600,166,0,6,128,1.0986122886681098,8.00603417874901,4574.0,167,1.0,5.0,8,74
1,1,1,720x1600,166,0,4,32,4.454347296253507,6.954638864880987,1048.0,3,2.0,3.4,32,4
58,1,1,1080x2400,193,1,8,128,7.0825485693553,9.490695669041504,12399.0,2,47.0,6.67,128,74
28,1,1,720x1600,193,1,4,128,6.900730664045173,9.646270020888167,13134.0,3,17.0,6.1,128,1
28,2,0,1080x2340,68,1,8,128,6.38856140554563,7.91644286012226,2689.0,3,9.0,5.71,16,14
60,1,1,1080x2400,68,0,8,128,6.688354713946762,9.856160068128911,13134.0,1,59.5,5.8,512,2
11,1,1,1080x2340,193,0,6,64,6.376726947898627,8.461469042643875,4699.0,1,2.0,5.0,32,1
1,1,0,1080x2340,139,0,6,64,6.476972362889683,7.377133712833954,4574.0,167,4.0,5.5,16,1
27,2,0,1080x2160,63,0,6,32,5.834810737062605,8.138564737261632,3399.0,3,2.0,5.84,32,54
103,1,1,720x1560,193,0,4,32,6.838405200847344,9.856160068128911,13134.0,1,30.0,6.9,256,74
103,1,0,1440x3200,193,1,8,128,6.570882962339584,9.772239265926174,13134.0,1,16.0,6.4,512,88
8,1,0,720x1560,139,0,3,32,6.159095388491933,7.377133712833954,4574.0,167,3.0,5.3,16,14
14,1,0,720x1520,63,0,4,32,6.854354502255021,8.834482608620677,6000.0,4,11.0,6.5,128,74
60,1,1,1080x2400,68,0,8,128,6.740519359606223,9.856160068128911,13134.0,1,32.0,6.1,128,8
15,1,0,1080x1920,14,0,4,64,6.4967749901858625,8.639233817325263,5599.0,3,2.0,6.0,128,14
8,1,1,1080x2400,68,0,8,128,6.794586580876499,8.641709066113805,5528.0,1,2.0,6.2,64,20
19,1,1,1080x2400,193,1,8,128,6.779921907472252,8.101374671228582,4574.0,167,1.0,5.7,64,10
60,1,1,720x1600,166,0,4,32,6.591673732008658,9.856160068128911,13134.0,3,27.0,6.1,128,5
24,1,0,1080x2160,45,1,6,64,6.345636360828596,8.734721003944811,5990.0,2,3.0,6.5,64,74
7,1,1,1080x2280,63,1,8,64,5.318119993844216,5.631211781821365,4574.0,167,1.0,3.4,8,27
14,1,1,1080x2340,139,0,8,128,2.4849066497880004,6.54965074223381,4574.0,167,1.0,3.4,32,6
34,2,0,1080x2340,139,0,3,32,4.859812404361672,8.711443319075466,5910.0,2,20.0,6.21,64,13
39,1,1,1080x2400,193,1,8,128,6.238324625039508,8.573573524852344,4574.0,167,1.0,6.2,64,74
28,1,1,1080x2400,193,1,6,128,5.484796933490655,8.156797046675651,4574.0,167,1.0,5.2,16,1
60,1,1,1080x2400,68,1,8,128,6.994849985833071,9.856160068128911,13134.0,1,59.5,6.1,256,8
33,1,1,1080x2400,166,1,8,256,5.655991810819852,6.706862336602747,699.0,2,6.0,3.4,64,18
58,1,1,1080x2636,193,1,8,256,6.236369590203704,8.318254328798846,4574.0,167,1.0,5.15,32,54
103,1,0,720x1560,193,0,4,32,6.529418838262226,8.9595686535445,6896.0,1,3.0,5.1,32,54
33,1,1,1080x2388,166,0,8,128,3.7376696182833684,8.293799608846818,3599.0,3,2.0,5.0,32,54
39,1,1,1080x2400,193,1,8,128,5.209486152841421,8.316300249036848,4574.0,167,1.0,6.0,32,74
17,1,1,720x1560,139,0,3,32,6.1070228877422545,8.00603417874901,4574.0,167,2.0,6.55,32,88
39,1,1,1080x2400,193,1,8,128,6.75110146893676,8.454679286026995,4574.0,167,1.0,6.34,128,23
60,1,1,1080x2400,68,0,8,128,6.659293919683638,8.453401058328458,3499.0,1,6.0,4.0,16,1
24,1,0,720x1280,10,0,2,16,7.018401799069201,8.992806059426483,7499.0,1,10.0,6.6,128,12
103,2,1,720x1560,139,0,3,16,4.51085950651685,8.07775756373692,3029.0,2,8.0,5.0,16,19
16,1,1,1080x2340,193,0,6,64,6.150602768446279,8.581294116822761,4899.0,1,5.0,6.41,64,4
14,3,0,720x1280,32,0,2,16,5.777652323222656,7.497207223203318,1659.0,3,36.0,5.0,16,13
24,1,1,1080x2412,166,1,8,256,6.7661917146603505,9.305559638557117,4574.0,167,1.0,6.5,128,88
1,1,1,1080x2376,193,0,8,128,5.641907070938114,6.80128303447162,4574.0,167,1.0,3.4,64,1
58,1,1,1080x2400,166,1,8,128,6.760414691083428,8.155936337972394,3199.0,1,29.0,6.53,32,74
58,1,1,1080x2340,193,0,4,64,6.6293632534374485,8.855663430700124,6999.0,1,2.0,6.67,64,10
58,1,1,1080x2400,166,0,4,64,6.408528791059498,8.794824928014517,4574.0,167,1.0,6.3,32,88
103,1,1,1644x3840,193,1,8,256,6.678342114654332,9.856160068128911,13134.0,2,22.0,6.4,1024,88
34,1,1,720x1280,63,0,2,16,6.806829360392176,7.80994708647679,2299.0,2,15.0,6.08,16,3
60,1,1,1080x2400,68,0,6,128,7.1098794630722715,9.856160068128911,13134.0,2,59.5,6.1,128,8
33,1,1,1080x2400,166,1,8,128,6.180016653652572,5.793013608384144,299.0,1,59.5,3.4,64,18
34,1,0,1080x2340,139,1,8,128,6.638567789166521,8.474911799159631,4670.0,1,10.0,5.84,64,13
24,1,0,1242x2688,3,1,4,64,6.669498089857879,8.234299635696253,2909.0,3,38.0,5.5,32,74
103,1,1,720x1512,139,0,3,32,7.07326971745971,9.79031885443049,13134.0,1,45.0,6.4,128,88
27,2,1,1440x2880,63,1,6,256,6.07073772800249,8.254268770090183,3690.0,5,2.0,6.09,64,14
